Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,IndcdZX,IndnmeZX,Estbdt,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype,FormerCode
1,平安银行,1991/4/3,10,平安银行股份有限公司,"Ping An Bank Co., Ltd.",1,金融,I01,银行业,J66,货币金融服务,J66,货币金融服务,1987/12/22,广东省,440000,深圳市,440300,私营企业,P0306,1991/4/3,CNY,20,40,CNY,350,CNY,1989/3/10,20,2,A,,2025/4/14,,4,
2,万科A,1991/1/29,10,万科企业股份有限公司,"China Vanke Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1984/5/30,广东省,440000,深圳市,440300,国营或国有控股,P0301,1991/1/29,CNY,0,1,CNY,28000,CNY,1988/12/28,1,2,A,,2025/4/14,2202,4,
3,PT 金田A,1991/7/3,10,金田实业(集团)股份有限公司,"Gintian Industry (Group) Co., Ltd.",4,综合,M,综合类,S90,综合,S91,综合,1982/1/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1991/7/3,CNY,9,10,CNY,452,CNY,1989/2/28,1,2,D,,2002/6/14,,4,
4,*ST 国华,1991/1/14,10,深圳国华网安科技股份有限公司,"Shenzhen Guohua Network Security Technology Co., Ltd.",2,公用事业,G87,计算机应用服务业,I65,软件和信息技术服务业,I65,软件和信息技术服务业,1986/5/5,广东省,440000,深圳市,440300,私营企业,P0306,1991/1/14,CNY,0,1,CNY,12500,CNY,1989/12/23,1,2,N,,2026/4/28,,4,
5,ST 星源,1990/12/10,10,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,2,公用事业,K99,其他社会服务业,N77,生态保护和环境治理业,N77,生态保护和环境治理业,1987/1/1,广东省,440000,深圳市,440300,中外合资,P0303,1990/12/10,CNY,9,10,CNY,44339,CNY,1990/3/3,1,2,D,,2024/4/26,,4,
6,深振业A,1992/4/27,10,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye (Group) Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1989/5/25,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/4/27,CNY,9,10,CNY,690,CNY,1989/8/1,1,2,A,,2025/4/14,,4,
7,全新好,1992/4/13,10,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1983/3/11,广东省,440000,深圳市,440300,私营企业,P0306,1992/4/13,CNY,0,1,CNY,8400,CNY,1988/12/1,1,2,A,,2025/4/14,,4,
8,神州高铁,1992/5/7,10,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,C37,铁路、船舶、航空航天和其他运输设备制造业,1989/10/11,北京市,110000,北京市,110000,私营企业,P0306,1992/5/7,CNY,9,10,CNY,1000,CNY,1989/10/1,1,2,A,,2025/4/14,,4,
9,中国宝安,1991/6/25,10,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",4,综合,M,其他金融业,S90,综合,J69,其他金融业,1983/7/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1991/6/25,CNY,2,3,CNY,60000,CNY,1991/6/14,1,2,A,,2025/4/14,,4,
10,*ST 美丽,1995/10/27,10,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co., Ltd.",3,房地产,E01,土木工程建筑业,E48,土木工程建筑业,E48,土木工程建筑业,1988/12/13,广东省,440000,深圳市,440300,私营企业,P0306,1995/10/27,CNY,0,1,CNY,16999,CNY,1993/6/1,1,2,A,,2026/4/30,,4,
11,深物业A,1992/3/30,10,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1982/11/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/3/30,CNY,2.6,3.6,CNY,41500,CNY,1991/10/1,1,2,A,200011,2025/4/14,,4,
12,南玻A,1992/2/28,10,中国南玻集团股份有限公司,"CSG Holding Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,C30,非金属矿物制品业,1984/9/10,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/2/28,CNY,2.38,3.38,CNY,20300,CNY,1991/12/3,1,2,A,200012,2025/4/14,,4,
13,*ST 石化A,1992/5/6,10,深圳石化工业集团股份有限公司,"Shenzhen Petrochemical Industry (Group) Co., Ltd.",6,商业,H,批发和零售贸易,F51,批发业,F51,批发业,1988/9/20,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/5/6,CNY,1.8,2.8,CNY,23500,CNY,1991/12/11,1,2,D,,2004/9/20,,4,
14,沙河股份,1992/6/2,10,沙河实业股份有限公司,"Shahe Industrial Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1987/7/27,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/6/2,CNY,1.38,2.38,CNY,11000,CNY,1991/12/19,1,2,A,,2025/4/14,,4,
15,PT 中浩A,1992/6/25,10,深圳中浩(集团)股份有限公司,"Shenzhen Zhonghao (Group) Co., Ltd.",4,综合,M,综合类,S90,综合,S91,综合,1984/1/1,广东省,440000,深圳市,440300,私营企业,P0306,1992/6/25,CNY,1.78,2.78,CNY,14400,CNY,1991/12/14,1,2,D,,2001/10/25,,4,
16,*ST 康佳A,1992/3/27,10,康佳集团股份有限公司,"Konka Group Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,1979/12/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/3/27,CNY,2.9,3.9,CNY,30150,CNY,1991/12/24,1,2,A,200016,2026/4/30,,4,
17,深中华A,1992/3/31,10,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,C24,文教、工美、体育和娱乐用品制造业,1984/8/24,广东省,440000,深圳市,440300,中外合资,P0303,1992/3/31,CNY,2.75,3.75,CNY,32800,CNY,1991/12/28,1,2,A,200017,2025/4/14,,4,
18,神城A退,1992/6/16,10,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",4,综合,E05,装修装饰业,E50,建筑装饰和其他建筑业,E50,建筑装饰、装修和其他建筑业,1984/4/27,广东省,440000,深圳市,440300,私营企业,P0306,1992/6/16,CNY,0.5,1.5,CNY,15200,CNY,1992/1/7,1,2,D,,2020/1/7,,4,
19,深粮控股,1992/10/12,10,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co., Ltd.",6,商业,H,批发和零售贸易,F51,批发业,F51,批发业,1974/1/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1992/10/12,CNY,1.1,2.1,CNY,19400,CNY,1991/12/1,1,2,A,200019,2025/4/14,,4,
20,深华发A,1992/4/28,10,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,1981/12/8,广东省,440000,深圳市,440300,中外合资,P0303,1992/4/28,CNY,0.9,1.9,CNY,29630,CNY,1992/1/20,1,2,A,200020,2025/4/14,,4,
21,深科技,1994/2/2,10,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,1985/7/4,广东省,440000,深圳市,440300,国营或国有控股,P0301,1994/2/2,CNY,3.65,4.65,CNY,25675,CNY,1993/11/22,1,2,A,,2025/4/14,,4,
22,深赤湾A,1993/5/5,10,招商局港口集团股份有限公司,"China Merchants Port Group Co., Ltd.",2,公用事业,F07,水上运输业,G55,水上运输业,G55,水上运输业,1993/1/16,广东省,440000,深圳市,440300,中外合资,P0303,1993/5/5,CNY,2.1,3.1,CNY,46000,CNY,1993/2/18,1,2,D,201872,2018/12/25,,4,
23,*ST 深天,1993/4/29,10,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,C30,非金属矿物制品业,1984/11/16,广东省,440000,深圳市,440300,私营企业,P0306,1993/4/29,CNY,2.1,3.1,CNY,25300,CNY,1993/3/1,1,2,D,,2024/9/2,,4,
24,招商地产,1993/6/7,10,招商局地产控股股份有限公司,"China Merchants Property Development Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1990/9/19,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/6/7,CNY,2.4,3.4,CNY,27000,CNY,1993/3/15,1,2,D,,2015/12/30,,4,
25,特力A,1993/6/21,10,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co., Ltd.",6,商业,H,批发和零售贸易,F51,批发业,F51,批发业,1986/11/10,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/6/21,CNY,3.18,4.18,CNY,25980,CNY,1993/3/15,1,2,A,200025,2025/4/14,,4,
26,飞亚达,1993/6/3,10,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",6,商业,H11,零售业,F52,零售业,F52,零售业,1987/1/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/6/3,CNY,2.6,3.6,CNY,12500,CNY,1993/3/10,1,2,A,200026,2025/4/14,,4,
27,深圳能源,1993/9/3,10,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,D44,电力、热力生产和供应业,1993/8/21,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/9/3,CNY,2.5,3.5,CNY,107300,CNY,1993/4/6,1,2,A,,2025/4/14,,4,
28,国药一致,1993/8/9,10,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,6,商业,H,批发和零售贸易,F51,批发业,F51,批发业,1983/1/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/8/9,CNY,2.5,3.5,CNY,30000,CNY,1993/5/5,1,2,A,200028,2025/4/14,,4,
29,深深房A,1993/9/15,10,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate & Properties (Group) Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1980/1/8,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/9/15,CNY,2.8,3.8,CNY,112000,CNY,1993/6/21,1,2,A,200029,2025/4/14,,4,
30,富奥股份,1993/9/29,10,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,5,工业,C75,交通运输设备制造业,C36,汽车制造业,C36,汽车制造业,1984/2/18,吉林省,220000,长春市,220100,国营或国有控股,P0301,1993/9/29,CNY,3.55,4.55,CNY,43500,CNY,1993/6/28,1,2,A,200030,2025/4/14,,4,
31,大悦城,1993/10/8,10,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1983/2/24,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/10/8,CNY,3.38,4.38,CNY,67000,CNY,1993/8/8,1,2,A,,2025/4/14,,4,
32,深桑达A,1993/10/28,10,深圳市桑达实业股份有限公司,"Shenzhen SED Industry Co., Ltd.",3,房地产,E01,土木工程建筑业,E49,建筑安装业,E49,建筑安装业,1993/9/26,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/10/28,CNY,2.36,3.36,CNY,27500,CNY,1993/8/12,1,2,A,,2025/4/14,,4,
33,新都退,1994/1/3,10,深圳新都酒店股份有限公司,"Shenzhen Century Plaza Hotel Co., Ltd.",6,商业,K32,旅馆业,H61,住宿业,H61,住宿业,1989/12/20,广东省,440000,深圳市,440300,私营企业,P0306,1994/1/3,CNY,2.15,3.15,CNY,42000,CNY,1993/9/30,1,2,D,,2017/7/7,,4,
34,神州数码,1994/5/9,10,神州数码集团股份有限公司,"Digital China Group Co., Ltd.",6,商业,H,批发和零售贸易,F51,批发业,F51,批发业,1981/11/20,广东省,440000,深圳市,440300,私营企业,P0306,1994/5/9,CNY,4.2,5.2,CNY,46800,CNY,1993/10/18,1,2,A,,2025/4/14,,4,
35,中国天楹,1994/4/8,10,中国天楹股份有限公司,China Tianying Inc.,2,公用事业,K99,其他社会服务业,N77,生态保护和环境治理业,N77,生态保护和环境治理业,1984/12/31,江苏省,320000,海安市,320685,私营企业,P0306,1994/4/8,CNY,2.9,3.9,CNY,15000,CNY,1993/11/24,1,2,A,,2025/4/14,,4,
36,华联控股,1994/6/17,10,华联控股股份有限公司,China Union Holdings Ltd.,3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1985/10/1,广东省,440000,深圳市,440300,私营企业,P0306,1994/6/17,CNY,1.6,2.6,CNY,34100,CNY,1993/12/13,1,2,A,,2025/4/14,,4,
37,深南电A,1994/7/1,10,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,D44,电力、热力生产和供应业,1990/4/10,广东省,440000,深圳市,440300,中外合资,P0303,1994/7/1,CNY,3.6,4.6,CNY,40000,CNY,1994/1/3,1,2,A,200037,2025/4/14,,4,
38,大通退,1994/8/8,10,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",2,公用事业,K99,其他社会服务业,L72,商务服务业,L72,商务服务业,1987/6/24,广东省,440000,深圳市,440300,私营企业,P0306,1994/8/8,CNY,2.68,3.68,CNY,12000,CNY,1993/12/10,1,2,D,,2023/7/12,,4,
39,中集集团,1994/4/8,10,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",5,工业,C69,金属制品业,C33,金属制品业,C33,金属制品业,1992/9/30,广东省,440000,深圳市,440300,中外合资,P0303,1994/4/8,CNY,7.5,8.5,CNY,12000,CNY,1994/2/1,1,2,A,,2025/4/14,2039,4,
40,*ST 旭蓝,1994/8/8,10,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,D44,电力、热力生产和供应业,1950/9/29,广东省,440000,深圳市,440300,私营企业,P0306,1994/8/8,CNY,5,6,CNY,22000,CNY,1994/2/18,1,2,D,,2025/4/30,,4,
42,中洲控股,1994/9/21,10,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holding Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1984/9/17,广东省,440000,深圳市,440300,国营或国有控股,P0301,1994/9/21,CNY,9.8,10.8,CNY,16300,CNY,1994/5/26,1,2,A,,2025/4/14,,4,
43,中航善达,1994/9/28,10,招商局积余产业运营服务股份有限公司,"China Merchants Property Operation & Service Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1985/5/29,广东省,440000,深圳市,440300,国营或国有控股,P0301,1994/9/28,CNY,4.5,5.5,CNY,20280,CNY,1994/6/6,1,2,D,,2019/12/13,,4,
45,深纺织A,1994/8/15,10,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,1982/4/30,广东省,440000,深圳市,440300,国营或国有控股,P0301,1994/8/15,CNY,2.9,3.9,CNY,16800,CNY,1994/5/28,1,2,A,200045,2025/4/14,,4,
46,*ST 泛海,1994/9/12,10,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",1,金融,I99,其他金融业,J69,其他金融业,J69,其他金融业,1989/5/9,北京市,110000,北京市,110000,私营企业,P0306,1994/9/12,CNY,5.3,6.3,CNY,13000,CNY,1994/5/31,1,2,D,,2024/2/7,,4,
47,ST 中侨,1994/10/21,10,深圳市中侨发展股份有限公司,"Shenzhen Overglobe Development Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,K70,房地产业,1988/9/23,广东省,440000,深圳市,440300,私营企业,P0306,1994/10/21,CNY,3.05,4.05,CNY,16000,CNY,1994/6/20,1,2,D,,2003/5/30,,4,
48,京基智农,1994/11/1,10,深圳市京基智农时代股份有限公司,"Shenzhen Kingkey Smart Agriculture Times Co., Ltd.",5,工业,C01,食品加工业,C13,农副食品加工业,A03,畜牧业,1979/1/1,广东省,440000,深圳市,440300,私营企业,P0306,1994/11/1,CNY,3.8,4.8,CNY,21800,CNY,1994/6/23,1,2,A,,2025/4/14,,4,
49,德赛电池,1995/3/20,10,深圳市德赛电池科技股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,C38,电气机械和器材制造业,1985/9/4,广东省,440000,深圳市,440300,国营或国有控股,P0301,1995/3/20,CNY,3.95,4.95,CNY,14000,CNY,1995/1/10,1,2,A,,2025/4/14,,4,
50,深天马A,1995/3/15,10,天马微电子股份有限公司,"Tianma Micro-electronics Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,1983/11/8,广东省,440000,深圳市,440300,国营或国有控股,P0301,1995/3/15,CNY,3.5,4.5,CNY,11000,CNY,1995/1/16,1,2,A,,2025/4/14,,4,
55,方大集团,1996/4/15,10,方大集团股份有限公司,"China Fangda Group Co., Ltd.",5,工业,C69,金属制品业,C33,金属制品业,C33,金属制品业,1994/3/31,广东省,440000,深圳市,440300,私营企业,P0306,1996/4/15,CNY,4.18,5.18,CNY,20000,CNY,1996/3/29,1,2,A,200055,2025/4/14,,4,
56,*ST 皇庭,1996/7/8,10,深圳市皇庭国际企业股份有限公司,"Shenzhen Wongtee International Enterprise Co., Ltd.",2,公用事业,K99,其他社会服务业,L72,商务服务业,L72,商务服务业,1983/1/1,广东省,440000,深圳市,440300,中外合资,P0303,1996/7/8,CNY,3.78,4.78,CNY,20000,CNY,1996/6/21,1,2,A,200056,2026/4/27,,4,
58,深赛格,1996/12/26,10,深圳赛格股份有限公司,"Shenzhen SEG Co., Ltd.",2,公用事业,K99,其他社会服务业,L72,商务服务业,L72,商务服务业,1996/7/16,广东省,440000,深圳市,440300,国营或国有控股,P0301,1996/12/26,CNY,5.8,6.8,CNY,25000,CNY,1996/12/12,1,2,A,200058,2025/4/14,,4,
59,华锦股份,1997/1/30,10,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co., Ltd.",5,工业,C41,石油加工及炼焦业,C25,石油加工、炼焦及核燃料加工业,C25,石油、煤炭及其他燃料加工业,1997/1/18,辽宁省,210000,盘锦市,211100,国营或国有控股,P0301,1997/1/30,CNY,4.38,5.38,CNY,130000,CNY,1997/1/3,1,2,A,,2025/4/14,,4,
60,中金岭南,1997/1/23,10,深圳市中金岭南有色金属股份有限公司,"Shenzhen Zhongjin Lingnan Nonfemet Co., Ltd.",5,工业,C67,有色金属冶炼及压延加工业,C32,有色金属冶炼及压延加工业,C32,有色金属冶炼和压延加工业,1984/9/1,广东省,440000,深圳市,440300,国营或国有控股,P0301,1997/1/23,CNY,7,8,CNY,18000,CNY,1997/1/10,1,2,A,,2025/4/14,,4,
